problem,count_atoms,MDE_classic,MDE_quaternion,RMSD,samples_classic,samples_quaternion,memory_classic,memory_quaternion,allocs_classic,allocs_quaternion,time_classic(mean),time_quaternion(mean),gctime_classic(mean),gctime_quaternion(mean),time_classic(median),time_quaternion(median),gctime_classic(median),gctime_quaternion(median),time_classic(minimum),time_quaternion(minimum),gctime_classic(minimum),gctime_quaternion(minimum),time_classic(maxium),time_quaternion(maxium),gctime_classic(maximum),gctime_quaternion(maximum)
pdb2lld,242,1.936769623055137e-13,2.214262815151906e-13,2.264198708341448e-13,100000,100000,470640,216240,2236,2616,0.00043224174166,0.00025935501235,5.738253506e-5,1.928574708e-5,0.000386032,0.000246572,0.0,0.0,0.00023484300000000001,0.00018567600000000002,0.0,0.0,0.078142616,0.057441349,0.07664007,0.055799001
pdb2lm9,578,6.253802686064277e-14,7.712878895481887e-14,1.507875574557502e-13,57403,100000,1187088,534592,6176,6899,0.0010405011057261816,0.00058617222615,0.00014279971849903318,4.5496648670000004e-5,0.000928668,0.0005591880000000001,0.0,0.0,0.000551342,0.000416667,0.0,0.0,0.07771333600000001,0.055470073,0.075935204,0.053725091
pdb2lmf,140,1.2815924144359556e-13,1.4624379191060193e-13,7.980774164751274e-14,100000,100000,268384,122736,1281,1430,0.00023138572606,0.00012955473179,3.2912349770000004e-5,1.075333563e-5,0.000205118,0.00012215900000000002,0.0,0.0,0.000118955,9.013e-5,0.0,0.0,0.07898753,0.059672659,0.077645453,0.05769900100000001
pdb2ln3,500,1.291547290443794e-13,1.3586601568288124e-13,8.411368509891274e-14,64570,100000,1024416,455920,5189,5862,0.0009250602573331269,0.00053185728203,0.00012544365404986837,3.9765328820000006e-5,0.0008248140000000001,0.0005067170000000001,0.0,0.0,0.000494533,0.00038278700000000005,0.0,0.0,0.079606512,0.057898034,0.07791434800000001,0.056008952
pdb2lo2,230,2.068075288234941e-14,2.5710328170544877e-14,3.6944100465883023e-14,100000,100000,444832,200640,2115,2391,0.00039531760818,0.00022904918254,5.2962508090000004e-5,1.7631651399999998e-5,0.000352859,0.00021707800000000002,0.0,0.0,0.00021045700000000002,0.000161709,0.0,0.0,0.080821534,0.059419602,0.07937604000000001,0.057675109
pdb2lqp,428,2.949771590272996e-13,3.08491502417126e-13,4.756142520996406e-13,78018,100000,851216,382640,4228,4766,0.0007644773281550412,0.00044056513833000004,0.0001038925835191879,3.301826574000001e-5,0.0006802635,0.000418911,0.0,0.0,0.000407625,0.000317183,0.0,0.0,0.081412943,0.058734977,0.079722622,0.05676624
pdb2lr0,806,3.5494785363294634e-12,3.4397905563329737e-12,6.048545540325433e-13,39064,67401,1691536,757248,9456,10555,0.0015304262805908254,0.0008846209002982152,0.00020621872173868527,6.623139451936916e-5,0.001366288,0.0008424760000000001,0.0,0.0,0.000820201,0.0006330880000000001,0.0,0.0,0.08343378700000001,0.060183746,0.081530841,0.05812115700000001
pdb2lrh,806,5.631069327394288e-13,6.563942991196785e-13,3.204798420329643e-13,40194,69697,1659904,745248,9323,10391,0.0014873611987610091,0.0008554988881300487,0.00020160442755137584,6.518727639640157e-5,0.0013271140000000001,0.0008145320000000001,0.0,0.0,0.000790546,0.000609836,0.0,0.0,0.083174854,0.060705934,0.081036779,0.058748763
pdb2ls9,152,1.1222917313541202e-13,1.4705518164577132e-13,3.7127642337363565e-13,100000,100000,275264,127872,1317,1463,0.00023845674699000003,0.00013771286124999999,3.2914826589999996e-5,1.119243493e-5,0.000211661,0.0001297355,0.0,0.0,0.000123612,9.6193e-5,0.0,0.0,0.083820664,0.061613243000000005,0.08231318300000001,0.059915658000000004
pdb2lsa,140,5.2351808151667674e-14,7.034145752929246e-14,1.5384551233968148e-13,100000,100000,268320,123744,1277,1435,0.00023606157278,0.00013780089126,3.227163384e-5,1.074001364e-5,0.0002097275,0.00013006200000000002,0.0,0.0,0.000123329,9.7112e-5,0.0,0.0,0.08312058500000001,0.06257130600000001,0.08183235500000001,0.060554933000000005
pdb2lss,422,1.229549401036634e-13,1.454957528293137e-13,1.6926337356664721e-13,81056,100000,806656,370432,3983,4505,0.0007356242614242007,0.00043769526324000005,9.683275980803396e-5,3.1665870130000004e-5,0.0006571670000000001,0.00041698,0.0,0.0,0.000400355,0.000320461,0.0,0.0,0.084701835,0.059417205,0.083052739,0.057387999
